44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,time,eventtype,binsize,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0.40684637,0.20980687,0.25166264,0.23365968,0.29468513,0.28111872,0.24483183,0.35002312,0.26838338,0.2553091,0.14978924,0.21494272,0.23698135,0.24499731,0.2693769,0.24676192,0.44439876,0.50227505,0.69586462,0.57243955,0.37992743,0.25684968,0.32280067,0.32505748,0.38229567,0.52611744,0.4453457,0.37577379,0.27226394,0.32304028,1.1073754,1.0332226,1.1718065,2.7886806,2.6443152000000003,2.4757874,16.625103,16.697634,21.650902,26.093163,36.408936,48.9216,49.614605,51.472401,51.438023,60.439285,50.510265,2020-08-25 09:48:40.017,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.46383724,0.33170235,0.17509072,0.16014227,0.23737481,0.33240631,0.31733409,0.40263057,0.41654027,0.39217532,0.29971904,0.25414655,0.22513244,0.27441937,0.29721308,0.45209002,0.29439196,0.32122326,0.43728587,0.35740495,0.34191152,0.17497951,0.2570692,0.24051528,0.34912109,0.52131778,0.33846617,0.32516229,1.108182,1.0966545,2.3907301,2.5662673,3.2072952,3.8318806,5.152669,6.3187885,5.3681831,5.1818423,6.7586064,8.9405899,15.466939000000002,16.723619,15.86295,17.389866,20.288078,25.786777,18.62429,2020-08-25 09:48:40.257,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.31122282,0.3118256,0.21734864,0.21170196,0.39547268,0.43505666,0.44460118,0.39057365,0.45427895,0.42075166,0.41411507,0.50034183,0.39129263,0.39167333,0.47724801,0.53118473,0.45653903,0.42998326,0.42210203,0.52187467,0.71333045,0.68273562,0.30486444,0.50256544,0.46081606,0.62020272,0.74803185,0.72507483,1.0759921,1.4923719,2.1778655,3.0457611,3.1013267000000004,1.467696,1.8978332,2.3154991000000003,1.7642961,2.569782,2.7107053,4.516623,7.197306599999999,7.7154307,7.0914602,9.3978052,8.2346182,8.0413952,5.6651492,2020-08-25 09:48:40.498,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.2919367,0.29788047,0.21339327,0.26327389,0.31904989,0.36457446,0.34623882,0.47632626,0.42091841,0.46267617,0.329496,0.38153145,0.31926191,0.3575902,0.37729588,0.39448312,0.33904767,0.3193261,0.31347311,0.39542651,0.54322875,0.50703216,0.27788991,0.41811675,0.51731944,0.90658087,0.87977427,0.6548025,1.3507136999999998,2.2372515,5.221849400000001,6.3522506,7.673524900000001,5.464426,4.1271129,3.0620658,0.66617137,0.87374061,0.83394945,1.6269938,3.3809755,4.252472900000001,3.8929985,3.5013046,3.0674365000000003,2.4460368,1.7232291000000002,2020-08-25 09:48:40.738,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.89092016,0.68697447,0.71881998,0.22620866,0.226382,0.36767507,0.28525296,0.49927044,0.4816805999999999,0.43106905,0.30654231,0.24045852,0.23290133,0.26769251,0.26122507,0.23836945,0.2559379,0.26022294,0.33112165,0.18709674,0.2991024,0.32702088,0.40463486,0.40714228,0.38882199,0.29590669,0.48334876,0.51028466,0.48496574,0.68052852,1.5908911,1.9322317,2.3374856,1.7031306,1.2724128,0.93909615,0.34747502,0.35765567,0.89627343,2.1983888,5.6285696,6.5788069,5.7047682,2.2695198,1.9740496,1.6079818,0.80522567,2020-08-25 09:48:40.978,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.68768007,0.51130223,0.55554545,0.37603959,0.43506351,0.25659439,0.42549181,0.67655462,0.8247896999999998,0.78764516,0.68780869,0.28932202,0.2838029,0.20224971,0.16609915,0.20769569,0.37664574,0.33276072,0.36364308,0.38280872,0.41255146,0.41167858,0.39416355,0.55772096,0.50810921,0.32975453,0.37199667,0.40566391,0.36846402,0.33070397,0.83839482,1.3049103000000002,1.314214,1.0309347,0.52690715,0.30626833,0.22740246,0.16868596,0.27262926,0.66870749,1.7121018,2.0011456,1.73528,0.69034415,0.86554962,0.61652994,0.41345513,2020-08-25 09:48:41.219,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.70300889,0.3981066,0.39596528,0.23793226,0.41626945,0.21970829,0.33351198,0.56437695,0.71540165,0.62646455,0.6613210999999999,0.45092925,0.33055294,0.2280177,0.17221493,0.26996309,0.3130466,0.28237697,0.60049486,0.63078707,0.50950897,0.50668466,0.6124841,0.49257192,0.59843493,0.33100796,0.26085684,0.30203333,0.32510003,0.31016362,0.74783111,1.1070454,1.0416254,0.84238172,0.75590521,1.2408293,1.5564512,1.0601107,1.016354,0.81313527,0.62151271,0.61587375,0.60283291,0.44560963,0.64279854,0.45786455,0.30705154,2020-08-25 09:48:41.459,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.46765432,0.36873448,0.2745470999999999,0.30053559,0.34453073,0.37771633,0.34543726,0.26060271,0.32301366,0.32186082,0.28759745,0.2182468,0.15572566,0.22909892,0.22324347,0.41333503,0.455531,0.46693081,0.52223951,0.33877805,0.26684779,0.3304752999999999,0.45364591,0.37223855,0.37130937,0.28291851,0.3022477,0.30017582,0.17458124,0.17523229,0.35569376,0.41835153,0.78414822,1.4999855,1.872768,2.1724443,2.4178891,3.0238929,3.2354777,3.0233045,2.6857545,2.3595879,1.9452113,1.3631388,2.3415542,4.848182700000001,3.2154331000000003,2020-08-25 09:48:42.421,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
0.59638238,0.43701771,0.35459453,0.33683673,0.27515197,0.32954371,0.28325382,0.53777784,0.68083978,0.68194854,0.46879107,0.32600099,0.33706006,0.29906192,0.33721006,0.50575876,0.42226619,0.45839882,0.51709706,0.46652892,0.34809959,0.30212313,0.34104851,0.68236625,0.84584367,0.90410423,0.37077439,0.24769104,0.62045616,0.80358434,0.81826133,0.3364262,0.38831168,0.5877406,0.69976974,0.7458145,1.2555583,1.0979996,1.1284223999999998,1.1670853,0.9193334,0.85715055,0.71028978,1.8947318,2.2664344,2.3944774,1.6927880000000002,2020-08-25 09:48:42.661,Vehicle Movement,0.6806349158,,,,,,,,,,,,,,,,
